Sprint_ID,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP0813,28.83,35.96,74.62,1.8,110.11,0.09,11.61,-0.88,Alice,36.95,35.77,27.72,7.63,0.76,48.46,1.11,ISS0450,Story,Medium,15.41,2.95,Add feature,20.74,50.5,29.66,0.28,2.3,-0.05,Fix bug,Tech debt,Refactor,19.88,5.14,Bob,6.86
SP0905,37.71,20.17,96.86,-1.17,49.88,3.28,1.38,0.44,Bob,52.22,54.84,37.48,-0.8,-0.34,159.64,0.66,ISS0546,Bug,Medium,8.46,2.93,Fix bug,7.02,39.5,16.65,0.21,0.61,1.23,Code cleanup,Critical bug,Bug,6.95,7.83,Alice,15.4
SP0771,44.26,39.41,68.9,3.62,56.47,2.57,-2.79,0.92,Alice,37.57,66.04,44.41,8.8,0.52,100.08,-0.03,ISS0153,Bug,High,15.3,7.7,Refactor code,17.65,44.45,18.93,2.81,2.33,0.01,Fix bug,New module,Bug,9.52,8.08,Alice,16.35
SP0363,72.54,11.31,71.61,-1.24,70.34,-0.29,3.14,1.13,David,51.61,43.78,34.18,9.24,0.96,113.26,0.54,ISS0654,Bug,Low,18.64,6.03,Refactor code,18.2,32.85,17.28,2.13,1.29,0.59,Improve performance,Critical bug,Performance,17.71,7.16,Alice,9.91
SP0708,58.15,15.84,57.84,7.31,55.52,2.51,9.01,-0.01,David,29.73,23.23,29.15,5.63,1.88,111.31,0.91,ISS0116,Bug,High,8.91,7.35,Update UI,21.89,18.1,25.11,3.78,1.63,0.4,Improve performance,Tech debt,Feature,12.4,11.75,David,19.51
SP0109,28.59,13.41,89.79,-1.27,60.87,3.7,5.77,0.97,Alice,47.78,51.46,34.94,8.14,1.91,168.7,1.27,ISS0851,Story,Low,9.84,4.27,Add feature,0.69,45.0,31.11,-2.23,3.04,0.06,Develop feature,User request,Bug,13.89,5.39,David,10.47
SP0896,33.53,33.1,84.72,10.47,50.98,1.78,-1.31,0.4,David,37.58,48.78,39.69,4.8,0.9,279.12,0.83,ISS0971,Task,Low,-0.23,6.83,Refactor code,7.16,41.82,13.84,0.35,3.92,0.39,Improve performance,New module,Performance,11.36,7.24,Alice,13.5
SP0553,78.38,41.26,75.46,9.3,74.72,2.52,9.84,0.27,Carol,43.64,32.86,31.71,6.34,5.7,74.83,0.9,ISS0238,Bug,High,8.69,3.82,Update UI,20.84,38.08,19.99,1.02,3.91,0.82,Improve performance,Tech debt,Feature,10.93,9.77,Alice,-1.29
SP0480,43.82,76.22,102.84,5.61,61.57,1.3,9.13,0.35,Carol,48.26,31.34,29.48,2.18,1.8,197.42,0.85,ISS0643,Bug,High,5.21,10.46,Update UI,2.35,38.3,16.5,2.29,0.89,-0.42,Improve performance,New module,Bug,8.0,6.12,Alice,2.87
SP0919,99.45,1.58,82.8,1.46,80.26,-1.85,-3.83,1.4,David,43.83,42.27,51.49,6.87,0.45,158.37,-0.18,ISS0862,Story,High,8.34,-1.91,Update UI,12.65,29.58,24.98,3.42,0.22,1.22,Improve performance,Critical bug,Refactor,6.03,12.79,Alice,15.52
SP0511,69.95,25.61,108.43,9.62,51.96,0.98,5.02,1.15,Bob,43.92,37.37,21.49,4.82,-0.32,132.35,-0.2,ISS0472,Bug,Low,6.44,7.02,Add feature,7.75,20.44,25.04,2.07,2.04,-0.09,Improve performance,New module,Refactor,10.73,3.71,David,16.12
SP0281,59.51,23.69,74.23,3.52,93.67,0.57,7.77,-0.25,David,48.64,37.54,38.82,4.71,1.02,117.87,0.79,ISS0739,Bug,Low,16.1,13.99,Refactor code,20.38,28.84,30.36,0.04,2.78,-0.36,Develop feature,User request,Performance,11.71,3.57,Bob,15.63
SP0079,32.48,24.0,72.48,4.76,65.81,2.29,1.79,0.24,Alice,53.66,41.32,29.33,10.7,0.39,152.73,0.08,ISS0339,Task,Low,12.14,4.52,Update UI,19.55,55.24,30.48,1.92,1.77,1.05,Code cleanup,User request,Bug,3.57,5.58,David,12.61
SP0244,39.88,18.57,57.09,7.2,50.65,0.24,4.4,1.11,Carol,31.63,51.99,27.34,4.79,0.66,235.84,0.49,ISS0215,Story,Medium,13.75,8.89,Update UI,7.85,30.65,40.36,-0.73,2.08,0.18,Fix bug,Tech debt,Feature,4.85,6.82,Carol,5.65
SP0769,-1.26,30.82,70.76,5.86,49.73,-0.66,0.31,-0.35,David,35.71,18.16,38.3,3.33,1.95,162.57,0.64,ISS0484,Story,Medium,18.05,8.74,Add feature,12.36,37.91,40.48,3.83,-0.07,0.49,Develop feature,Tech debt,Feature,9.07,7.5,Bob,18.33
SP0883,47.5,36.73,76.62,5.2,36.66,-1.37,-1.02,0.27,Carol,41.63,69.29,31.27,3.08,0.8,145.08,0.9,ISS0768,Task,Medium,7.92,4.77,Update UI,20.09,34.43,22.35,1.21,0.84,-0.09,Develop feature,Tech debt,Bug,5.44,3.56,Carol,17.43
SP0650,70.25,54.99,55.46,0.99,54.53,2.11,-0.46,0.58,Alice,45.99,60.26,35.42,8.68,0.25,139.96,0.5,ISS0128,Story,Medium,14.3,5.77,Refactor code,12.94,64.89,40.75,0.39,1.46,0.25,Code cleanup,Critical bug,Bug,18.55,6.08,Bob,3.59
SP0578,58.9,58.26,72.36,5.16,41.05,3.54,9.84,0.47,Alice,50.33,57.52,39.25,7.96,0.76,44.31,-0.02,ISS0820,Bug,Low,6.64,5.71,Fix bug,7.53,48.83,20.76,-0.6,2.49,0.66,Improve performance,New module,Refactor,4.01,0.02,David,3.91
SP0047,75.49,57.92,87.19,1.66,23.44,4.29,11.47,-0.09,Alice,36.57,51.34,38.11,6.71,3.55,221.79,0.58,ISS0923,Story,Medium,15.09,8.07,Refactor code,24.51,60.1,27.35,1.6,1.91,-0.26,Develop feature,Critical bug,Bug,11.38,1.38,Carol,5.47
SP0991,37.1,46.72,67.11,7.23,63.32,3.41,11.09,-0.05,Carol,43.86,40.76,23.46,0.12,2.22,148.81,0.65,ISS0182,Story,Medium,6.36,-0.32,Add feature,11.7,36.41,31.28,0.02,0.25,0.89,Fix bug,New module,Refactor,11.36,2.95,David,-1.74
SP0745,19.15,24.13,42.07,7.28,45.44,1.23,2.9,0.54,Alice,34.06,32.04,22.96,4.88,2.92,84.26,0.64,ISS0648,Task,Medium,11.2,8.14,Fix bug,12.62,28.01,25.71,3.03,2.34,-0.44,Develop feature,New module,Bug,8.13,6.07,Bob,4.21
SP0410,60.34,51.49,83.34,1.93,51.8,4.86,1.6,0.11,David,40.13,45.17,48.61,3.78,2.91,-3.82,0.13,ISS0619,Bug,High,16.7,6.9,Fix bug,5.75,44.41,25.99,0.89,2.05,0.06,Fix bug,User request,Performance,18.04,0.88,Carol,15.84
SP0807,49.21,12.83,68.65,3.77,61.42,2.55,-0.89,0.04,David,29.3,55.68,24.76,3.52,0.76,154.05,0.78,ISS0877,Story,Medium,20.82,4.25,Update UI,16.83,41.74,26.01,1.56,3.36,0.14,Fix bug,User request,Feature,8.81,5.6,David,15.57
SP0349,36.23,24.5,64.64,10.17,62.56,3.15,-1.76,-0.05,Bob,31.0,37.75,30.5,5.33,1.94,167.93,1.01,ISS0913,Bug,Medium,2.44,10.32,Refactor code,14.01,48.89,26.86,2.15,0.54,0.1,Fix bug,New module,Feature,4.57,3.86,Alice,18.1
SP0516,18.19,41.92,74.34,3.15,51.94,0.91,5.9,0.91,Bob,26.69,46.4,48.66,3.26,0.26,134.03,0.48,ISS0666,Task,Low,12.23,8.72,Fix bug,11.27,44.88,30.95,0.85,2.53,-0.02,Improve performance,New module,Feature,9.98,8.12,David,7.36
SP0019,60.92,34.09,88.28,3.77,49.56,2.58,4.9,-0.45,Bob,27.61,43.72,24.97,1.46,1.99,65.9,0.37,ISS0164,Bug,Low,9.13,9.81,Add feature,11.13,65.26,21.61,0.17,2.2,-0.31,Code cleanup,Critical bug,Refactor,13.39,10.46,David,11.82
SP0363,49.77,21.72,66.97,4.01,89.12,2.52,3.04,0.59,Bob,9.41,48.09,29.05,4.26,1.24,69.89,1.15,ISS0294,Bug,High,23.29,1.13,Refactor code,9.44,62.23,19.27,1.1,3.57,1.05,Code cleanup,User request,Bug,3.7,8.22,David,12.64
SP0856,55.22,26.82,64.36,2.01,20.13,2.33,6.31,0.14,David,48.3,34.45,26.69,1.52,3.71,208.65,-1.1,ISS0629,Bug,Medium,15.18,11.33,Update UI,10.17,54.56,24.5,2.51,2.75,0.41,Code cleanup,Tech debt,Feature,9.13,12.59,David,13.35
SP0797,47.7,44.39,54.16,4.2,63.39,2.57,4.04,-0.1,Alice,24.47,48.65,46.28,7.23,2.69,203.65,0.87,ISS0464,Task,High,7.05,5.29,Refactor code,18.6,52.72,28.42,1.03,1.64,-0.02,Develop feature,Critical bug,Refactor,13.8,1.42,Bob,17.21
SP0375,43.46,40.52,64.35,2.68,89.84,3.11,9.18,0.6,Alice,45.42,42.42,43.57,3.92,0.54,240.84,0.71,ISS0240,Task,High,13.71,7.92,Fix bug,17.08,18.84,23.94,0.52,2.39,0.22,Improve performance,User request,Refactor,17.15,3.47,Carol,9.99
SP0777,41.44,25.76,57.65,7.58,57.32,2.97,8.12,0.29,David,41.44,44.99,24.97,3.51,1.87,132.09,0.56,ISS0530,Story,Low,13.31,7.62,Add feature,7.06,35.86,34.31,2.15,1.15,-0.1,Develop feature,User request,Bug,7.85,10.9,Alice,0.42
SP0280,20.61,18.45,57.3,1.04,44.31,0.78,-5.27,-0.48,David,92.31,46.54,24.04,8.56,1.44,142.37,0.42,ISS0018,Task,Medium,15.45,10.19,Add feature,19.03,17.15,21.63,2.17,4.25,0.28,Code cleanup,Critical bug,Feature,17.55,6.1,Alice,19.11
SP0572,36.67,31.67,49.49,0.41,57.72,2.79,12.69,0.91,David,38.95,43.63,25.62,6.99,1.68,202.51,0.75,ISS0162,Task,Low,21.47,4.84,Add feature,10.78,48.37,24.78,1.29,2.04,-0.57,Code cleanup,Critical bug,Feature,4.93,4.89,Carol,19.99
SP0423,59.21,37.86,62.45,6.11,33.65,3.01,2.64,0.42,Bob,44.93,45.95,32.9,5.02,1.33,115.52,0.42,ISS0955,Story,High,7.53,8.24,Update UI,22.93,28.74,17.81,-0.36,2.88,0.26,Fix bug,New module,Bug,17.48,11.29,David,12.84
SP0631,24.61,54.16,48.28,1.4,30.72,1.4,5.59,0.32,Alice,38.52,40.71,47.98,2.73,3.58,136.58,0.65,ISS0062,Task,Medium,2.03,3.95,Refactor code,17.57,58.89,35.85,2.51,1.77,0.68,Fix bug,Tech debt,Performance,17.82,10.88,Bob,8.97
SP0178,18.76,21.59,69.83,-0.81,62.26,0.81,3.97,-0.44,Carol,45.77,43.97,37.68,4.38,2.21,80.39,0.09,ISS0848,Story,Low,9.32,3.31,Add feature,15.87,40.73,34.12,1.66,3.66,0.07,Fix bug,Critical bug,Bug,12.93,-0.96,Bob,16.87
SP0029,34.19,23.92,65.23,6.5,37.98,2.18,8.13,0.05,Alice,58.63,33.55,39.39,5.63,-0.71,264.42,0.38,ISS0227,Bug,Medium,8.5,2.18,Add feature,17.62,17.13,34.66,0.75,0.24,-0.22,Fix bug,New module,Bug,15.34,4.99,David,12.25
SP0836,64.33,31.87,66.23,1.01,38.42,2.97,0.46,0.34,Bob,39.16,68.4,51.71,1.04,0.91,227.26,0.3,ISS0369,Bug,Low,1.97,10.85,Update UI,16.52,48.48,28.5,0.55,3.52,0.72,Code cleanup,Critical bug,Feature,0.78,9.86,Bob,5.85
SP0960,32.49,28.05,68.85,4.86,35.43,2.37,1.09,0.59,Bob,32.53,7.32,29.4,5.28,2.36,125.09,0.23,ISS0164,Story,Medium,3.9,2.21,Fix bug,7.76,62.02,23.35,5.25,2.22,0.04,Code cleanup,Critical bug,Performance,7.97,8.35,David,16.7
SP0814,75.5,21.23,47.14,10.35,44.14,1.88,-0.44,0.35,Alice,45.53,34.72,45.3,7.98,3.68,173.0,-0.2,ISS0113,Story,Medium,9.52,8.53,Fix bug,12.79,55.89,27.61,3.6,1.07,0.72,Fix bug,Tech debt,Bug,20.88,9.22,Carol,10.33
SP0857,36.29,32.99,84.28,7.87,43.65,0.38,12.32,-0.25,Alice,34.61,35.58,31.06,5.97,3.89,140.97,0.62,ISS0246,Task,High,14.03,-3.39,Update UI,1.57,35.77,26.23,3.47,3.14,-0.33,Develop feature,User request,Feature,13.21,11.33,David,16.17
SP0720,27.07,40.31,100.39,4.09,56.12,1.77,3.6,-0.11,Carol,41.39,29.18,43.39,4.22,1.55,-1.94,0.26,ISS0080,Story,Low,13.08,7.44,Add feature,16.55,63.77,37.2,1.44,3.02,0.46,Develop feature,Tech debt,Performance,19.76,0.65,Alice,3.11
SP0709,71.42,40.61,86.94,-0.89,47.48,1.85,-6.59,0.16,Bob,47.75,59.03,39.05,8.62,0.61,129.34,0.58,ISS0693,Bug,Low,10.01,6.7,Add feature,20.0,46.26,29.59,2.49,1.77,-0.03,Develop feature,New module,Feature,13.95,11.3,Alice,23.42
SP0220,50.64,29.97,45.08,1.06,77.33,1.66,-4.54,0.56,Carol,27.75,47.73,41.18,5.11,-0.79,33.66,-0.0,ISS0987,Story,Low,6.68,6.25,Refactor code,22.38,34.78,30.93,1.15,2.26,0.42,Develop feature,User request,Feature,9.95,4.92,Bob,7.06
SP0796,67.46,54.43,93.13,1.5,42.5,0.95,0.33,-0.93,David,50.59,18.2,37.32,4.11,3.3,141.87,0.67,ISS0263,Bug,Medium,10.39,0.42,Refactor code,25.42,22.6,14.86,2.63,1.09,0.54,Improve performance,Tech debt,Performance,10.29,7.85,Bob,-4.6
SP0838,59.85,56.39,87.92,5.58,39.51,2.68,4.01,0.4,Bob,40.31,13.34,40.18,4.11,3.95,226.87,0.93,ISS0883,Story,High,8.84,12.42,Refactor code,19.31,50.74,30.41,1.6,1.09,0.46,Fix bug,Tech debt,Bug,17.99,3.88,David,11.16
SP0927,70.11,60.72,66.2,0.52,54.17,0.63,4.54,-0.2,David,34.36,46.74,42.8,3.3,2.69,80.3,1.58,ISS0102,Story,Low,6.92,5.53,Update UI,13.17,27.88,16.47,0.4,3.24,0.29,Fix bug,New module,Performance,15.52,0.04,Alice,6.17
SP0994,30.97,37.23,54.99,2.05,43.6,-0.62,1.01,-0.24,Bob,53.29,43.71,32.7,5.31,2.93,100.86,-0.32,ISS0882,Task,High,7.59,6.95,Update UI,27.05,38.51,22.87,-0.92,2.43,-0.4,Develop feature,Tech debt,Bug,14.07,6.63,David,15.47
SP0377,46.55,43.97,93.51,4.24,50.09,1.8,-0.63,0.0,David,40.37,60.58,29.77,12.27,3.58,49.83,-0.08,ISS0280,Task,High,14.4,7.83,Update UI,11.57,17.09,31.36,1.27,1.22,0.59,Fix bug,Tech debt,Performance,10.68,8.8,Alice,17.35
SP0990,78.68,42.49,115.28,1.67,53.1,3.46,9.49,0.35,Bob,23.68,41.7,21.11,7.3,2.22,135.85,0.31,ISS0443,Story,Medium,18.72,6.23,Update UI,17.53,52.69,27.66,0.09,0.94,0.78,Code cleanup,Tech debt,Feature,13.29,7.04,Alice,15.58
SP0271,52.7,17.02,78.95,5.59,22.84,1.62,0.89,-0.09,Carol,47.89,60.44,29.16,2.1,1.7,158.46,0.79,ISS0966,Task,High,20.84,11.31,Update UI,5.17,49.04,22.53,2.83,2.37,0.18,Fix bug,New module,Bug,7.14,6.06,David,13.89
SP0739,27.25,28.96,58.33,4.07,53.85,1.69,-3.77,0.51,Carol,64.6,42.83,49.07,4.9,0.39,140.42,1.45,ISS0941,Story,High,13.39,6.0,Fix bug,3.94,27.6,30.83,3.56,0.27,0.74,Fix bug,Critical bug,Refactor,10.53,6.77,Alice,13.9
SP0318,20.23,38.13,75.73,5.32,69.49,3.8,5.65,0.4,Carol,40.23,47.83,43.6,5.62,3.87,193.32,0.54,ISS0532,Task,High,11.8,6.37,Add feature,17.81,31.96,24.33,-1.1,3.34,-0.14,Improve performance,Critical bug,Performance,9.1,5.96,David,16.35
SP0439,36.42,10.22,95.03,8.39,61.2,0.28,-5.06,-0.2,David,56.53,71.77,40.43,7.57,3.43,47.99,1.28,ISS0995,Task,Low,16.78,4.93,Fix bug,23.55,24.21,23.11,1.11,1.61,0.05,Fix bug,User request,Refactor,5.05,11.13,Carol,18.41
SP0784,81.16,20.96,91.67,3.19,30.85,-1.95,5.82,0.49,Alice,58.41,29.55,35.74,4.13,5.03,43.46,0.44,ISS0918,Story,High,21.86,7.94,Add feature,17.16,25.71,24.34,-0.6,-0.29,0.75,Code cleanup,Critical bug,Refactor,17.52,5.22,David,14.37
SP0492,32.25,30.41,52.36,6.61,62.41,2.86,0.27,0.49,Bob,42.86,48.05,46.79,9.59,2.51,139.96,0.51,ISS0055,Story,High,15.83,7.44,Fix bug,12.84,30.23,37.8,0.91,-0.39,0.43,Improve performance,New module,Performance,19.65,8.1,Alice,6.01
SP0510,45.62,50.63,68.74,1.34,92.19,2.06,-3.23,-0.76,David,33.1,49.84,40.88,2.51,1.75,159.78,0.72,ISS0118,Bug,High,10.99,7.3,Add feature,10.38,18.03,36.13,0.89,1.56,0.6,Fix bug,Tech debt,Refactor,5.88,5.67,Bob,12.22
SP0776,34.53,18.79,83.04,8.84,44.36,2.21,2.15,0.42,David,26.78,29.12,28.01,1.61,3.43,73.18,0.7,ISS0779,Bug,Low,15.75,9.3,Fix bug,16.12,37.0,33.11,-0.36,2.42,0.17,Fix bug,Critical bug,Refactor,6.75,5.91,Alice,13.72
SP0293,56.3,48.66,37.21,4.76,80.64,1.06,0.74,-0.14,Alice,57.39,62.34,22.79,4.11,1.35,98.43,0.04,ISS0148,Task,Medium,8.28,5.11,Add feature,13.91,35.23,40.16,0.34,2.62,0.4,Code cleanup,Critical bug,Feature,18.22,6.92,Carol,8.32
SP0781,25.69,30.43,70.8,11.15,74.26,2.64,1.3,0.32,Alice,34.35,41.93,37.47,4.75,0.24,111.11,0.5,ISS0563,Task,High,10.08,12.48,Update UI,8.03,47.52,27.98,2.66,1.35,0.1,Improve performance,User request,Refactor,13.34,6.05,David,23.39
SP0709,32.71,-1.12,94.16,8.43,57.66,2.94,-1.1,-0.38,Alice,37.57,42.55,48.72,1.8,0.65,37.39,0.79,ISS0538,Story,High,9.74,5.03,Add feature,14.15,49.51,22.19,-0.24,2.02,1.06,Code cleanup,New module,Refactor,7.84,8.31,Bob,16.18
SP0373,52.3,34.02,53.79,4.69,73.54,1.36,2.59,-0.66,Alice,54.02,55.38,49.11,1.58,2.11,11.26,1.03,ISS0576,Task,Medium,12.47,4.09,Update UI,13.29,26.54,35.28,2.8,1.99,1.09,Develop feature,New module,Feature,12.57,8.7,Bob,17.8
SP0524,21.19,28.76,113.86,4.97,39.7,2.01,5.56,0.65,Alice,21.9,55.0,29.56,1.83,2.3,42.3,0.32,ISS0725,Story,High,7.5,5.93,Fix bug,18.57,25.84,16.56,2.61,2.08,-0.45,Code cleanup,Critical bug,Refactor,7.81,4.65,David,9.29
SP0320,51.53,44.4,84.49,0.34,53.63,4.36,7.54,-0.49,David,51.64,36.5,32.49,0.72,0.86,139.33,0.38,ISS0609,Story,Medium,14.51,3.48,Add feature,5.78,40.98,27.31,3.83,2.48,0.41,Develop feature,Critical bug,Feature,18.08,15.77,David,13.83
SP0863,57.07,18.78,78.75,0.63,49.52,1.03,1.47,-1.34,Bob,26.56,21.86,26.49,4.03,2.78,156.1,1.16,ISS0143,Task,Medium,19.08,10.59,Update UI,20.66,49.76,26.14,1.18,3.82,0.38,Improve performance,Critical bug,Performance,9.83,7.35,Alice,7.89
SP0813,59.27,30.22,91.19,4.61,57.42,1.76,9.3,0.22,Bob,28.12,51.64,16.31,3.22,0.87,250.83,0.32,ISS0811,Bug,Medium,17.78,12.44,Refactor code,22.19,42.96,15.17,-0.35,1.14,0.02,Develop feature,Tech debt,Refactor,11.49,10.36,David,7.05
SP0572,35.7,43.44,48.6,8.91,52.04,3.14,-0.87,0.24,David,48.16,39.84,38.2,2.44,4.89,157.9,0.87,ISS0355,Bug,Medium,8.38,6.48,Refactor code,13.67,48.67,27.46,1.4,1.82,0.44,Fix bug,New module,Refactor,11.33,8.65,David,12.75
SP0933,47.94,15.55,67.95,3.95,55.14,1.02,-5.01,-0.47,Alice,26.58,40.49,39.73,3.84,1.82,184.26,0.83,ISS0706,Task,Medium,18.76,10.85,Refactor code,17.27,42.55,29.16,4.68,1.63,0.28,Code cleanup,New module,Refactor,8.52,6.12,David,17.4
SP0815,42.35,49.22,65.41,4.06,69.25,2.72,-0.73,0.61,Alice,37.56,32.07,32.94,8.71,0.78,183.87,0.24,ISS0734,Task,Low,6.33,11.34,Fix bug,11.03,23.67,17.27,-0.19,1.24,0.2,Develop feature,New module,Feature,9.27,9.68,Bob,25.24
SP0498,70.08,42.27,66.38,10.8,61.62,-0.2,3.13,-0.14,Bob,33.38,57.88,43.21,3.78,1.54,229.12,0.11,ISS0768,Task,Medium,17.68,9.04,Fix bug,10.25,15.32,19.89,0.83,1.23,0.46,Improve performance,New module,Performance,5.66,6.35,David,9.95
SP0669,37.04,36.77,77.08,4.5,58.59,0.87,-2.96,-0.06,Bob,50.0,45.54,46.17,5.43,2.12,58.93,0.29,ISS0719,Task,High,13.25,5.77,Add feature,12.92,39.58,37.08,3.14,1.24,0.79,Improve performance,Critical bug,Refactor,9.2,6.4,Carol,14.42
SP0748,41.79,38.06,61.47,5.5,32.54,0.42,1.39,0.63,Bob,43.11,23.39,35.63,2.53,2.49,96.55,0.23,ISS0159,Bug,Medium,14.32,8.04,Fix bug,24.18,23.68,33.79,2.84,2.85,0.21,Fix bug,User request,Bug,9.03,6.77,Carol,21.42
SP0548,57.35,52.76,79.63,1.45,62.06,3.16,5.38,0.3,Bob,39.08,37.35,53.36,2.9,3.08,207.89,-0.6,ISS0208,Story,Low,16.02,10.8,Refactor code,24.73,29.23,30.09,1.46,2.18,0.9,Code cleanup,New module,Performance,7.18,0.47,Alice,13.49
SP0231,96.64,45.26,8.94,5.75,59.91,1.25,2.34,0.44,David,30.39,60.25,24.46,5.26,3.97,183.69,0.39,ISS0730,Task,High,12.88,6.18,Add feature,10.2,29.1,25.53,2.81,0.57,0.01,Code cleanup,Critical bug,Refactor,18.89,2.64,Alice,9.12
SP0146,40.3,42.63,63.41,7.38,60.0,2.4,3.14,0.05,David,29.31,32.55,30.08,2.2,0.07,107.49,0.85,ISS0930,Task,High,7.55,8.03,Update UI,19.43,45.7,20.33,1.61,2.19,-0.15,Code cleanup,User request,Refactor,1.78,8.01,Carol,13.49
SP0408,92.26,21.92,50.25,12.15,43.31,1.36,2.43,0.29,Alice,19.88,40.47,42.06,9.01,2.31,220.09,1.29,ISS0149,Story,Low,14.32,2.23,Refactor code,15.95,26.69,16.04,5.09,2.15,0.06,Improve performance,Tech debt,Bug,8.89,11.12,Carol,13.54
SP0753,26.34,65.29,60.86,4.2,52.78,3.83,12.11,-0.64,Carol,50.19,18.24,21.26,6.19,-1.23,188.54,0.51,ISS0167,Task,Medium,14.24,3.58,Add feature,17.35,53.42,27.52,1.73,1.31,0.27,Improve performance,Tech debt,Refactor,9.71,7.32,David,10.47
