Sprint_ID,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP0013,30,16,53.33,8,52,0,-4,0,Alice,38,54,40,8,2,135.0,1,ISS0013,Task,Medium,11,4,Add feature,13,39,31,2,3,0,Improve performance,User request,Feature,8,10,Bob,6
SP0014,43,43,100.0,5,69,0,8,1,Carol,39,45,20,4,0,225.0,1,ISS0014,Task,High,12,6,Update UI,18,58,28,4,1,0,Fix bug,New module,Performance,5,9,David,5
SP0015,72,44,61.11,5,72,0,8,0,Bob,55,47,26,5,0,180.77,1,ISS0015,Task,Medium,9,4,Fix bug,14,59,24,0,4,1,Develop feature,User request,Refactor,8,4,Bob,10
SP0016,55,44,80.0,4,23,1,6,0,Bob,54,59,43,5,4,137.21,1,ISS0016,Story,High,7,7,Add feature,5,32,22,1,0,0,Code cleanup,Critical bug,Bug,17,5,David,18
SP0017,59,37,62.71,4,61,1,4,0,Bob,51,45,28,4,0,160.71,1,ISS0017,Task,High,12,9,Update UI,12,33,22,1,4,0,Code cleanup,Tech debt,Feature,11,3,David,15
SP0018,43,21,48.84,1,76,3,6,0,Carol,59,64,27,4,3,237.04,1,ISS0018,Bug,High,13,3,Update UI,22,59,28,1,0,0,Fix bug,User request,Refactor,16,5,Carol,19
SP0019,22,12,54.55,7,26,3,5,0,Carol,43,35,24,4,2,145.83,1,ISS0019,Story,Low,17,3,Fix bug,21,41,21,1,3,1,Improve performance,Critical bug,Refactor,17,8,Alice,17
SP0020,41,29,70.73,7,41,3,9,0,Alice,36,45,38,4,0,118.42,0,ISS0020,Bug,Low,19,2,Add feature,17,37,20,2,3,1,Fix bug,User request,Feature,7,8,David,12
SP0021,72,29,40.28,0,74,1,10,0,Bob,26,30,29,4,0,103.45,0,ISS0021,Bug,Low,14,1,Refactor code,12,48,18,3,2,1,Improve performance,Tech debt,Performance,5,8,Alice,10
SP0022,21,18,85.71,7,52,1,-5,0,David,20,39,30,5,1,130.0,1,ISS0022,Task,High,4,1,Refactor code,6,35,15,0,0,0,Fix bug,Critical bug,Performance,5,6,David,4
SP0023,43,35,81.4,4,36,3,4,0,Carol,54,46,44,2,1,104.55,0,ISS0023,Task,Low,16,3,Update UI,22,54,29,2,1,0,Code cleanup,User request,Refactor,5,1,Alice,9
SP0024,63,63,100.0,1,43,3,-4,1,Alice,51,60,34,2,1,176.47,1,ISS0024,Task,Low,15,7,Fix bug,18,53,39,4,3,0,Improve performance,User request,Performance,18,11,Bob,16
SP0025,49,24,48.98,1,53,4,-4,0,Bob,55,58,25,9,2,232.0,1,ISS0025,Bug,Low,19,11,Update UI,26,22,29,3,2,0,Fix bug,Critical bug,Performance,14,10,Alice,13
SP0026,57,55,96.49,5,47,3,6,1,David,32,37,34,2,3,108.82,0,ISS0026,Story,High,15,9,Fix bug,14,23,15,3,3,1,Develop feature,New module,Feature,3,12,Carol,8
SP0027,21,13,61.9,8,77,4,-3,0,Carol,25,43,24,6,3,179.17,1,ISS0027,Task,High,6,2,Refactor code,14,24,34,1,4,0,Code cleanup,Critical bug,Performance,7,6,David,5
SP0028,79,64,81.01,0,62,2,4,1,David,33,51,48,2,3,106.25,0,ISS0028,Task,High,15,7,Update UI,21,29,17,2,3,1,Code cleanup,Critical bug,Performance,2,12,Carol,1
SP0029,40,33,82.5,5,60,1,1,0,Carol,56,62,38,5,2,163.16,1,ISS0029,Bug,Low,9,1,Update UI,12,48,37,4,0,0,Develop feature,Critical bug,Feature,9,11,David,7
SP0030,52,49,94.23,8,58,3,-4,1,Alice,34,51,41,4,2,124.39,1,ISS0030,Story,Medium,16,2,Fix bug,18,51,19,1,2,1,Fix bug,Critical bug,Refactor,19,10,Carol,21
SP0031,31,26,83.87,7,41,1,8,0,David,23,36,38,7,1,94.74,0,ISS0031,Bug,Low,16,6,Add feature,18,50,19,1,0,0,Improve performance,User request,Refactor,5,7,David,9
SP0032,77,56,72.73,5,68,1,10,0,Bob,59,68,29,7,0,234.48,1,ISS0032,Task,Low,7,11,Fix bug,16,21,18,0,1,0,Code cleanup,Critical bug,Feature,6,9,Alice,9
SP0033,41,34,82.93,2,36,1,-5,1,Bob,35,47,31,6,4,151.61,1,ISS0033,Bug,High,9,5,Add feature,9,31,31,3,1,0,Fix bug,Critical bug,Bug,6,12,David,9
SP0034,63,58,92.06,7,53,2,10,1,Carol,47,54,41,5,4,131.71,1,ISS0034,Task,High,7,8,Refactor code,10,46,35,4,3,0,Develop feature,Tech debt,Feature,16,8,Carol,19
SP0035,44,36,81.82,8,25,0,8,0,Bob,35,42,23,1,0,182.61,1,ISS0035,Story,Low,16,12,Update UI,17,24,34,3,2,0,Improve performance,User request,Bug,11,11,Carol,16
SP0036,68,64,94.12,0,65,3,0,1,David,23,34,37,3,1,91.89,0,ISS0036,Bug,Low,4,11,Update UI,13,56,28,2,2,1,Fix bug,Tech debt,Performance,9,12,David,11
SP0037,46,18,39.13,8,25,0,3,0,Alice,45,48,35,9,0,137.14,1,ISS0037,Task,Medium,11,2,Fix bug,18,46,22,0,2,1,Fix bug,User request,Refactor,8,8,David,15
SP0038,78,54,69.23,5,53,0,9,0,Carol,47,54,27,1,0,200.0,1,ISS0038,Task,Medium,16,1,Fix bug,15,42,16,1,2,1,Code cleanup,New module,Bug,13,7,Bob,17
SP0039,61,38,62.3,5,20,0,-3,0,David,51,55,23,5,4,239.13,1,ISS0039,Task,High,17,7,Refactor code,17,52,22,0,3,1,Code cleanup,New module,Bug,12,2,Bob,12
SP0040,47,45,95.74,3,29,1,0,1,Carol,21,25,44,2,1,56.82,0,ISS0040,Task,Medium,18,6,Refactor code,24,23,15,1,0,0,Improve performance,User request,Performance,14,1,Alice,20
SP0041,79,60,75.95,0,40,4,-3,0,Alice,50,45,42,4,2,107.14,0,ISS0041,Bug,Medium,12,8,Add feature,20,40,18,0,3,1,Fix bug,New module,Refactor,16,2,Alice,23
SP0042,35,23,65.71,9,24,1,8,0,Carol,22,38,31,1,4,122.58,1,ISS0042,Task,High,17,11,Refactor code,25,43,33,1,0,0,Develop feature,New module,Performance,18,6,Alice,18
SP0043,34,31,91.18,7,21,1,7,1,Bob,27,31,21,3,2,147.62,1,ISS0043,Bug,Medium,6,8,Refactor code,12,50,19,3,4,1,Develop feature,User request,Refactor,19,2,Alice,22
SP0044,66,42,63.64,1,41,0,-5,0,Bob,43,50,23,7,1,217.39,1,ISS0044,Task,Low,6,2,Refactor code,9,43,19,3,4,1,Improve performance,Critical bug,Refactor,9,10,Alice,9
SP0045,70,32,45.71,0,67,1,8,0,Carol,34,27,24,3,0,112.5,0,ISS0045,Bug,Medium,15,8,Refactor code,22,29,35,3,0,0,Fix bug,Tech debt,Performance,7,4,David,5
SP0046,63,53,84.13,1,76,0,7,1,Alice,50,62,22,4,3,281.82,1,ISS0046,Bug,High,19,6,Add feature,26,21,34,3,3,0,Code cleanup,User request,Bug,12,10,Bob,10
SP0047,74,32,43.24,0,21,4,10,0,Alice,28,25,28,2,3,89.29,0,ISS0047,Task,Low,9,9,Refactor code,15,50,38,0,1,0,Fix bug,User request,Feature,10,3,David,10
SP0048,71,37,52.11,0,29,3,6,0,Bob,58,62,48,3,1,129.17,1,ISS0048,Task,Medium,6,12,Add feature,7,44,33,1,3,0,Code cleanup,User request,Refactor,6,6,Bob,7
SP0049,76,46,60.53,8,53,0,-1,0,Alice,21,13,40,9,3,32.5,0,ISS0049,Task,Low,8,7,Fix bug,16,23,26,3,1,0,Develop feature,Tech debt,Refactor,8,12,Bob,7
SP0050,22,17,77.27,0,35,4,4,0,Carol,27,46,37,3,2,124.32,1,ISS0050,Task,Low,17,2,Update UI,19,30,34,0,3,0,Improve performance,User request,Feature,16,12,Carol,22
SP0051,56,38,67.86,3,67,3,8,0,David,26,30,30,5,3,100.0,0,ISS0051,Story,Medium,15,8,Fix bug,22,36,15,1,2,1,Improve performance,Tech debt,Feature,5,8,Carol,10
SP0052,70,47,67.14,9,70,2,7,0,Carol,58,60,22,2,1,272.73,1,ISS0052,Task,Medium,6,9,Refactor code,9,21,21,0,2,0,Improve performance,Tech debt,Performance,14,11,Bob,14
SP0053,26,14,53.85,5,58,0,5,0,Bob,35,33,49,4,1,67.35,0,ISS0053,Task,High,10,7,Update UI,16,25,31,3,4,0,Code cleanup,New module,Refactor,2,6,David,6
SP0054,40,17,42.5,6,41,0,-2,0,Bob,54,45,44,7,2,102.27,0,ISS0054,Task,High,5,4,Refactor code,7,28,16,2,4,1,Develop feature,Critical bug,Performance,2,2,Bob,3
SP0055,28,16,57.14,1,31,2,1,0,Bob,49,62,42,7,3,147.62,1,ISS0055,Bug,Low,5,9,Refactor code,10,24,25,0,0,0,Develop feature,New module,Feature,15,5,Alice,17
SP0056,58,24,41.38,5,43,2,0,0,Alice,29,26,21,3,3,123.81,1,ISS0056,Task,High,17,4,Fix bug,25,39,21,3,1,0,Improve performance,User request,Performance,10,11,David,11
SP0057,37,26,70.27,6,66,0,4,0,Carol,57,75,28,5,0,267.86,1,ISS0057,Bug,Low,18,12,Refactor code,16,48,31,4,2,1,Improve performance,User request,Refactor,13,6,David,19
SP0058,23,22,95.65,9,59,2,1,1,David,37,56,33,1,4,169.7,1,ISS0058,Bug,Low,16,4,Fix bug,18,40,17,1,3,1,Code cleanup,Tech debt,Bug,19,9,Bob,23
SP0059,44,27,61.36,9,57,1,-1,0,Carol,24,33,23,1,1,143.48,1,ISS0059,Bug,High,5,9,Refactor code,12,28,36,3,0,0,Code cleanup,New module,Bug,10,6,Alice,11
SP0060,79,73,92.41,1,79,3,9,1,David,48,54,48,5,0,112.5,0,ISS0060,Bug,High,7,8,Add feature,5,47,20,4,3,1,Fix bug,Tech debt,Refactor,9,10,Bob,14
SP0061,33,28,84.85,1,78,3,9,1,Carol,58,60,28,9,1,214.29,1,ISS0061,Story,High,17,4,Update UI,24,27,36,0,2,0,Code cleanup,New module,Performance,15,5,Alice,14
SP0062,69,37,53.62,9,29,3,-2,0,Bob,53,43,32,1,0,134.38,1,ISS0062,Task,Medium,5,8,Fix bug,8,50,25,0,2,1,Fix bug,New module,Feature,10,1,David,14
SP0063,77,76,98.7,6,54,1,10,1,David,42,33,37,1,4,89.19,0,ISS0063,Bug,Low,7,8,Fix bug,11,39,32,4,2,0,Improve performance,New module,Feature,3,10,Bob,1
SP0064,28,26,92.86,0,70,2,1,1,Carol,24,43,34,4,0,126.47,1,ISS0064,Task,Low,6,7,Update UI,15,46,32,4,2,0,Develop feature,New module,Bug,2,5,Alice,7
SP0065,45,28,62.22,7,68,4,1,0,Alice,49,53,47,4,1,112.77,0,ISS0065,Bug,Low,17,10,Fix bug,19,27,36,1,3,0,Code cleanup,New module,Performance,14,5,Carol,17
SP0066,72,43,59.72,2,51,2,0,0,Alice,25,26,29,2,3,89.66,0,ISS0066,Story,High,17,6,Update UI,15,40,24,0,0,0,Develop feature,Critical bug,Feature,11,6,David,13
SP0067,21,15,71.43,5,26,0,2,0,Carol,23,26,35,9,1,74.29,0,ISS0067,Bug,High,11,8,Add feature,14,47,19,4,2,1,Code cleanup,User request,Feature,9,7,David,15
SP0068,39,18,46.15,8,40,3,-2,0,Bob,48,62,31,9,2,200.0,1,ISS0068,Task,High,10,7,Refactor code,17,42,37,2,4,0,Code cleanup,New module,Refactor,8,4,Carol,14
SP0069,47,25,53.19,5,39,2,4,0,David,42,60,39,2,2,153.85,1,ISS0069,Task,High,5,5,Add feature,7,25,37,2,0,0,Fix bug,New module,Performance,13,7,Alice,13
SP0070,66,29,43.94,8,45,4,-1,0,Carol,25,16,24,9,2,66.67,0,ISS0070,Story,High,15,12,Refactor code,18,22,35,4,4,0,Code cleanup,Tech debt,Performance,18,5,David,24
SP0071,79,55,69.62,6,23,0,-2,0,Alice,51,58,21,6,2,276.19,1,ISS0071,Task,Medium,5,4,Update UI,13,24,38,1,3,0,Improve performance,User request,Feature,13,6,Alice,19
SP0072,26,12,46.15,8,65,1,6,0,David,37,48,29,8,4,165.52,1,ISS0072,Task,High,13,12,Add feature,20,28,36,0,2,0,Develop feature,User request,Performance,17,4,Carol,16
SP0073,63,56,88.89,1,71,1,-5,1,Alice,34,30,20,4,3,150.0,1,ISS0073,Bug,Low,11,2,Refactor code,15,26,29,2,0,0,Code cleanup,User request,Performance,11,12,Bob,13
SP0074,27,12,44.44,7,41,4,6,0,Alice,59,77,26,2,3,296.15,1,ISS0074,Task,High,5,11,Update UI,9,23,35,4,2,0,Develop feature,New module,Performance,13,8,David,12
SP0075,66,52,78.79,7,34,0,2,0,Carol,51,63,45,2,1,140.0,1,ISS0075,Bug,Low,19,8,Refactor code,18,58,34,4,2,1,Develop feature,Tech debt,Refactor,12,9,David,10
SP0076,54,49,90.74,1,75,3,-5,1,Alice,28,46,36,9,0,127.78,1,ISS0076,Story,High,14,9,Fix bug,23,24,37,3,0,0,Develop feature,User request,Feature,15,2,Alice,19
SP0077,33,30,90.91,3,59,2,-1,1,David,56,70,35,1,1,200.0,1,ISS0077,Task,High,14,4,Fix bug,14,30,18,4,2,1,Code cleanup,Tech debt,Bug,14,12,David,15
SP0078,36,32,88.89,6,40,0,9,0,Bob,29,24,46,7,1,52.17,0,ISS0078,Bug,Low,15,4,Update UI,24,34,35,1,2,0,Fix bug,Critical bug,Performance,3,11,Bob,5
SP0079,55,40,72.73,3,34,1,0,0,Carol,39,42,46,3,1,91.3,0,ISS0079,Task,Low,19,5,Refactor code,22,53,35,2,1,0,Develop feature,Critical bug,Feature,8,4,Carol,9
SP0080,69,47,68.12,3,41,4,0,0,David,25,22,43,3,1,51.16,0,ISS0080,Bug,Low,2,2,Fix bug,2,32,15,3,1,0,Develop feature,Tech debt,Bug,2,11,David,5
SP0081,59,27,45.76,5,71,4,7,0,Carol,22,38,22,2,3,172.73,1,ISS0081,Story,Low,17,7,Add feature,16,26,29,2,0,0,Code cleanup,New module,Refactor,4,8,Carol,3
SP0082,23,10,43.48,9,47,2,-1,0,Alice,30,41,33,6,0,124.24,1,ISS0082,Bug,Medium,16,5,Refactor code,17,59,31,2,0,0,Code cleanup,User request,Feature,13,8,Alice,18
SP0083,21,19,90.48,5,33,4,10,1,Alice,36,27,29,2,1,93.1,0,ISS0083,Task,Low,6,6,Refactor code,8,25,33,1,2,0,Improve performance,Critical bug,Refactor,6,9,Bob,7
SP0084,25,19,76.0,9,46,4,-3,0,David,51,57,41,4,3,139.02,1,ISS0084,Bug,High,7,4,Fix bug,15,58,28,4,4,1,Improve performance,Critical bug,Feature,13,3,David,18
SP0085,73,50,68.49,2,60,0,9,0,David,23,17,26,9,1,65.38,0,ISS0085,Task,High,7,8,Fix bug,14,49,33,1,0,0,Fix bug,Tech debt,Refactor,4,1,Carol,4
SP0086,61,44,72.13,8,59,3,-1,0,Bob,23,26,45,9,2,57.78,0,ISS0086,Story,Medium,4,8,Update UI,10,41,32,4,2,0,Fix bug,New module,Feature,6,9,Bob,8
SP0087,23,14,60.87,9,77,2,6,0,David,36,50,36,6,1,138.89,1,ISS0087,Bug,Low,17,12,Refactor code,17,44,16,3,4,1,Fix bug,Tech debt,Refactor,2,1,Carol,2
SP0088,73,29,39.73,1,47,0,2,0,David,38,51,49,4,1,104.08,0,ISS0088,Task,High,13,5,Add feature,13,47,20,1,1,0,Fix bug,Tech debt,Bug,17,3,Alice,21
SP0089,48,23,47.92,5,45,3,8,0,Carol,24,43,25,7,4,172.0,1,ISS0089,Task,Medium,5,12,Fix bug,8,39,27,1,0,0,Develop feature,Tech debt,Feature,10,3,Bob,10
SP0090,37,22,59.46,6,68,0,-4,0,Alice,51,69,42,1,2,164.29,1,ISS0090,Task,High,2,6,Refactor code,4,58,31,0,2,1,Code cleanup,Tech debt,Bug,11,9,Bob,16
SP0091,45,29,64.44,8,21,0,10,0,David,41,50,41,4,0,121.95,1,ISS0091,Bug,Medium,5,3,Fix bug,8,22,20,1,1,0,Improve performance,Tech debt,Performance,11,1,Alice,17
SP0092,63,50,79.37,2,44,4,0,0,Bob,25,35,23,5,1,152.17,1,ISS0092,Bug,Medium,2,1,Update UI,6,24,35,0,3,0,Develop feature,New module,Bug,14,7,Alice,13
SP0093,53,34,64.15,9,75,3,3,0,David,54,72,36,8,0,200.0,1,ISS0093,Bug,Low,9,9,Refactor code,17,20,36,4,1,0,Code cleanup,Tech debt,Feature,17,2,David,17
SP0094,29,23,79.31,2,22,2,2,0,Alice,41,51,46,2,2,110.87,0,ISS0094,Story,Medium,6,9,Refactor code,6,34,19,4,2,1,Code cleanup,New module,Bug,5,7,Alice,9
SP0095,55,48,87.27,6,27,2,8,0,David,20,31,28,5,1,110.71,0,ISS0095,Task,High,3,3,Update UI,5,45,21,4,4,1,Develop feature,User request,Feature,15,1,Alice,17
SP0096,33,21,63.64,3,63,3,5,0,Carol,39,31,23,6,4,134.78,1,ISS0096,Task,High,13,4,Add feature,18,22,15,0,3,0,Develop feature,User request,Refactor,18,10,Carol,25
SP0097,50,45,90.0,7,52,4,2,1,Alice,41,35,26,5,3,134.62,1,ISS0097,Story,Low,18,7,Fix bug,19,59,27,4,3,1,Improve performance,User request,Performance,6,10,Bob,10
SP0098,67,47,70.15,6,61,1,2,0,David,30,35,42,9,4,83.33,0,ISS0098,Story,Low,8,2,Update UI,15,53,33,2,3,1,Fix bug,User request,Bug,14,8,Carol,13
SP0099,34,27,79.41,4,71,0,9,0,Carol,32,39,21,1,4,185.71,1,ISS0099,Bug,Medium,12,12,Refactor code,11,24,36,1,0,0,Fix bug,Critical bug,Performance,4,10,Alice,5
SP0100,27,20,74.07,6,54,4,7,0,Alice,22,37,36,3,3,102.78,0,ISS0100,Bug,Low,5,3,Update UI,6,50,15,0,2,1,Improve performance,New module,Bug,6,10,David,4
SP0101,33,28,84.85,2,25,3,1,1,David,28,34,43,2,3,79.07,0,ISS0101,Bug,High,6,6,Refactor code,5,32,27,4,3,0,Improve performance,User request,Feature,17,2,Carol,19
SP0102,42,32,76.19,1,58,0,2,0,Carol,31,31,27,3,3,114.81,0,ISS0102,Bug,High,7,11,Update UI,7,20,25,2,1,0,Fix bug,Critical bug,Bug,18,3,Carol,23
SP0103,79,56,70.89,5,71,2,7,0,Bob,42,48,42,9,1,114.29,0,ISS0103,Bug,Low,12,8,Add feature,13,41,21,1,4,1,Develop feature,New module,Performance,19,8,Bob,17
SP0104,76,65,85.53,1,42,1,0,1,Carol,33,38,49,9,0,77.55,0,ISS0104,Bug,Low,2,1,Refactor code,3,34,34,1,2,0,Fix bug,Critical bug,Bug,19,3,Bob,23
SP0105,59,23,38.98,2,44,2,-4,0,Bob,52,67,34,2,0,197.06,1,ISS0105,Story,Low,11,4,Update UI,18,45,17,4,1,0,Code cleanup,Critical bug,Performance,9,1,Bob,13
SP0106,40,23,57.5,5,78,3,-4,0,David,37,49,34,3,3,144.12,1,ISS0106,Story,Medium,12,1,Add feature,18,37,39,2,0,0,Code cleanup,Tech debt,Performance,19,9,David,23
SP0107,35,30,85.71,4,69,0,2,0,Carol,28,19,27,4,4,70.37,0,ISS0107,Story,Medium,18,2,Add feature,25,28,15,0,3,1,Improve performance,Critical bug,Feature,10,8,David,8
SP0108,64,59,92.19,7,62,3,5,1,Bob,42,35,35,9,2,100.0,0,ISS0108,Task,High,9,8,Fix bug,12,20,22,4,1,0,Fix bug,Critical bug,Refactor,11,4,Alice,11
SP0109,37,33,89.19,8,38,0,-5,0,Alice,29,39,38,3,3,102.63,0,ISS0109,Task,Medium,14,6,Refactor code,20,28,31,1,2,0,Fix bug,New module,Refactor,3,8,Alice,2
SP0110,66,40,60.61,2,24,4,0,0,Carol,38,34,30,7,4,113.33,0,ISS0110,Bug,Medium,19,9,Fix bug,20,42,27,1,1,0,Code cleanup,Critical bug,Bug,18,5,Bob,20
SP0111,72,49,68.06,9,70,1,7,0,David,24,15,21,3,4,71.43,0,ISS0111,Story,Medium,17,2,Add feature,23,21,28,1,0,0,Fix bug,Tech debt,Performance,14,3,Carol,13
SP0112,43,30,69.77,2,30,4,10,0,Alice,42,61,42,7,1,145.24,1,ISS0112,Task,Medium,3,3,Fix bug,11,33,19,4,4,1,Improve performance,User request,Feature,12,1,Bob,14
SP0113,45,43,95.56,2,75,4,0,1,Bob,49,44,43,7,1,102.33,0,ISS0113,Task,High,6,9,Fix bug,12,57,38,3,3,0,Improve performance,User request,Refactor,17,10,Alice,19
SP0114,44,44,100.0,5,31,3,10,1,Carol,44,50,36,9,0,138.89,1,ISS0114,Story,Low,19,9,Update UI,22,59,36,3,2,1,Code cleanup,New module,Feature,8,5,Carol,9
SP0115,79,53,67.09,0,29,1,5,0,Carol,47,43,47,2,0,91.49,0,ISS0115,Task,High,4,6,Fix bug,6,37,37,3,3,0,Fix bug,New module,Feature,4,11,Alice,8
SP0116,79,44,55.7,6,27,0,-2,0,David,53,67,45,6,2,148.89,1,ISS0116,Task,Medium,18,3,Add feature,18,35,38,2,3,0,Fix bug,Critical bug,Performance,17,6,David,24
SP0117,79,54,68.35,0,43,0,6,0,Alice,44,38,35,9,2,108.57,0,ISS0117,Story,Low,17,5,Fix bug,19,48,20,4,3,1,Code cleanup,New module,Bug,17,4,Bob,20
SP0118,64,26,40.62,4,79,2,5,0,Carol,29,23,44,2,2,52.27,0,ISS0118,Task,Low,7,2,Refactor code,7,30,36,1,1,0,Develop feature,Critical bug,Performance,3,7,Bob,2
SP0119,60,49,81.67,9,47,0,7,0,Carol,33,42,34,2,2,123.53,1,ISS0119,Story,Low,8,7,Update UI,10,25,20,2,1,0,Develop feature,New module,Refactor,15,3,Carol,16
SP0120,48,32,66.67,7,60,3,9,0,Alice,49,54,32,5,4,168.75,1,ISS0120,Task,High,19,10,Add feature,21,22,35,3,4,0,Fix bug,User request,Refactor,11,7,Bob,15
SP0121,34,31,91.18,3,55,4,5,1,Carol,44,52,34,8,4,152.94,1,ISS0121,Story,Low,15,11,Fix bug,14,33,22,0,0,0,Improve performance,User request,Feature,12,1,Alice,18
SP0122,64,31,48.44,4,56,4,10,0,Alice,33,31,46,9,0,67.39,0,ISS0122,Task,High,7,8,Refactor code,13,21,27,2,2,0,Develop feature,User request,Performance,19,7,Alice,25
SP0123,20,10,50.0,3,40,4,7,0,Alice,54,48,23,2,1,208.7,1,ISS0123,Task,High,9,6,Add feature,13,51,32,2,1,0,Fix bug,User request,Performance,12,1,David,12
SP0124,44,31,70.45,3,27,1,4,0,Alice,53,50,35,5,1,142.86,1,ISS0124,Story,Medium,16,8,Fix bug,19,50,37,4,3,0,Develop feature,Critical bug,Feature,10,11,Alice,8
SP0125,26,23,88.46,7,74,0,-3,0,David,29,27,49,7,3,55.1,0,ISS0125,Task,Medium,16,2,Update UI,18,30,18,2,0,0,Code cleanup,Critical bug,Bug,11,1,Carol,17
SP0126,28,21,75.0,1,28,3,7,0,Alice,54,48,31,6,4,154.84,1,ISS0126,Story,Low,16,3,Fix bug,17,41,31,4,2,0,Develop feature,Critical bug,Feature,4,2,Alice,9
SP0127,43,31,72.09,0,66,1,5,0,Alice,30,29,49,6,2,59.18,0,ISS0127,Story,Low,17,7,Add feature,22,22,19,0,2,0,Develop feature,User request,Feature,4,2,David,8
SP0128,20,19,95.0,2,34,2,-3,1,Bob,30,44,23,7,2,191.3,1,ISS0128,Task,Medium,2,10,Add feature,1,50,17,1,2,1,Code cleanup,Tech debt,Refactor,9,4,David,12
SP0129,63,42,66.67,8,67,3,9,0,Bob,40,31,22,3,3,140.91,1,ISS0129,Bug,High,12,12,Add feature,17,52,18,1,2,1,Improve performance,User request,Performance,7,1,Bob,14
SP0130,27,15,55.56,3,65,3,9,0,David,40,38,41,3,1,92.68,0,ISS0130,Task,High,6,1,Refactor code,4,43,37,3,4,0,Fix bug,User request,Refactor,2,4,Carol,6
SP0131,43,19,44.19,9,59,3,10,0,Alice,41,41,36,9,2,113.89,0,ISS0131,Bug,Medium,6,7,Fix bug,13,20,19,3,2,0,Improve performance,Tech debt,Feature,7,2,Alice,13
